nces_id,name,state,enrollment
0405400,Murphy Elementary District (4265),AZ,1040
0405430,Naco Elementary District (4176),AZ,266
0405460,Nadaburg Unified School District (4252),AZ,1641
0405500,Navajo County Accommodation District #99 (4386),AZ,32
0405530,Nogales Unified District (4457),AZ,5696
0405640,Oracle Elementary District (4444),AZ,413
0405670,Osborn Elementary District (4262),AZ,2518
0405730,Owens School District No.6 (4373),AZ,9
0405760,Tonto Basin Elementary District (4215),AZ,79
0405820,Page Unified School District #8  (4196),AZ,2269
0405850,Palo Verde Elementary District (4275),AZ,482
0405880,Palominas Elementary School District 49 (4180),AZ,706
0405930,Paradise Valley Unified District (4241),AZ,26183
0405980,Parker Unified School District (4510),AZ,1707
0406000,Patagonia Elementary District (4460),AZ,124
0406030,Patagonia Union High School District (4462),AZ,71
0406070,Payson Unified District (4209),AZ,2200
0406120,Peach Springs Unified District (4369),AZ,179
0406150,Pearce Elementary District (4186),AZ,136
0406210,Pendergast Elementary District (4283),AZ,8098
0406250,Peoria Unified School District (4237),AZ,34436
0406300,Phoenix Elementary District (4256),AZ,3963
0406330,Phoenix Union High School District (4286),AZ,25800
0406360,Picacho Elementary District (4452),AZ,155
0406440,Pima Unified District (4220),AZ,1033
0406510,Pine Strawberry Elementary District (4214),AZ,97
0406580,Blue Ridge Unified School District No. 32 (4397),AZ,1628
0406630,Pomerene Elementary District (4188),AZ,110
0406730,Prescott Unified District (4466),AZ,3712
0406740,Sanders Unified District (4156),AZ,624
0406780,Quartzsite Elementary District (4511),AZ,136
0406810,Queen Creek Unified District (4245),AZ,15065
0406850,Ray Unified District (4438),AZ,318
0406870,Red Mesa Unified District (4159),AZ,427
0406900,Red Rock Elementary District (4447),AZ,420
0406960,San Carlos Unified District (4210),AZ,1438
0407020,Riverside Elementary District (4257),AZ,804
0407080,Roosevelt Elementary District (4279),AZ,7057
0407130,Round Valley Unified District (4155),AZ,1237
0407170,Saddle Mountain Unified School District (4254),AZ,3265
0407200,Sacaton Elementary District (4449),AZ,495
0407240,Safford Unified District (4218),AZ,2874
0407300,Sahuarita Unified District (4411),AZ,6335
0407380,San Fernando Elementary District (4414),AZ,9
0407430,San Simon Unified District (4172),AZ,97
0407500,Santa Cruz Elementary District (4459),AZ,131
0407520,Santa Cruz Valley Unified District (4458),AZ,3612
0407530,Santa Cruz Valley Union High School District (4454),AZ,425
0407570,Scottsdale Unified District (4240),AZ,20682
0407630,Seligman Unified District (4472),AZ,180
0407680,Sentinel Elementary District (4250),AZ,35
0407700,Show Low Unified District  (4393),AZ,2398
0407750,Deer Valley Unified District (4246),AZ,32265
0407770,Skull Valley Elementary District (4478),AZ,39
0407820,Snowflake Unified District (4391),AZ,2830
0407860,Solomon Elementary District (4222),AZ,179
